Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 66.67      0.02     0.02                             void simdFilter<(X86_VEXT)1, 4, true, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
 33.33      0.03     0.01       23   434.79   434.79  EncGOP::compressGOP(int, int, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, bool, bool, InputColourSpaceConversion, bool, bool, bool, int)
  0.00      0.03     0.00   352834     0.00     0.00  EncAppCfg::parseCfg(int, char**)
  0.00      0.03     0.00   156458     0.00     0.00  BitEstimatorBase::getNumBins(unsigned int) const
  0.00      0.03     0.00    25636     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, true, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00    10555     0.00     0.00  RdCostWeightPrediction::xGetHADsw(DistParam const&)
  0.00      0.03     0.00    10165     0.00     0.00  EncLib::xInitSPS(SPS&)
  0.00      0.03     0.00     8775     0.00     0.00  Slice::initEqualRef()
  0.00      0.03     0.00     8764     0.00     0.00  VPS::deriveTargetOLSIdx()
  0.00      0.03     0.00     6761     0.00     0.00  EncLib::xInitVPS(SPS const&)
  0.00      0.03     0.00     5672     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<4, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00     4833     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00     3871     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_copy<std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Reuse_or_alloc_node>(std::_Rb_tree_node<std::pair<int const, double> > const*, std::_Rb_tree_node_base*, std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Reuse_or_alloc_node&)
  0.00      0.03     0.00     3732     0.00     0.00  PelStorage::getBuf(CompArea const&)
  0.00      0.03     0.00     3709     0.00     0.00  RdCost::xGetSAD64(DistParam const&)
  0.00      0.03     0.00     3579     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00     3524     0.00     0.00  initROM()
  0.00      0.03     0.00     3455     0.00     0.00  unsigned long RdCost::xGetSAD_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00     3409     0.00     0.06  SMultiValueInput<unsigned short>::readValue(char const*&, bool&)
  0.00      0.03     0.00     3072     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, true, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00     2113     0.00     0.00  APS::~APS()
